機場代碼,目的地與國家
LAX,United States
LHR,United Kingdom
SFO,United States
BOS,United States
MIA,United States
MCO,United States
LAS,United States
ATL,United States
CDG,France
FLL,United States
RDU,United States
CLT,United States
PHX,United States
ORD,United States
SEA,United States
STI,Dominican Republic
SJU,Puerto Rico
YYZ,Canada
BUF,United States
BNA,United States
DCA,United States
AUS,United States
SAN,United States
SDQ,Dominican Republic
FIUMICINO,Italy
MEX,Mexico
PIT,United States
DFW,United States
PUJ,Dominican Republic
JAX,United States
TPA,United States
CUN,Mexico
IND,United States
PBI,United States
CLE,United States
HND,Japan
FRA,Germany
SLC,United States
DUB,Ireland
DTW,United States
CHS,United States
ORF,United States
MAD,Spain
CMH,United States
ROC,United States
SAV,United States
CVG,United States
AMS,Netherlands
ICN,South Korea
DEN,United States
MALPENSA,Italy
SYR,United States
PTY,Panama
TLV,Israel
KIN,Jamaica
GYE,Ecuador
MSP,United States
PWM,United States
AUA,Aruba
HKG,Hong Kong
ZRH,Switzerland
BOG,Colombia
EDI,United Kingdom
GRU,Brazil
MBJ,Jamaica
IST,Turkey
SAL,El Salvador
MSY,United States
RIC,United States
RSW,United States
BCN,Spain
KEFLAVIK,Iceland
PDX,United States
ATH,Greece
POS,Trinidad & Tobago
GEO,Guyana
SXM,Sint Maarten
NAS,Bahamas
DXB,United Arab Emirates
ITH,United States
BTV,United States
HNL,United States
AUH,United Arab Emirates
STT,U.S. Virgin Islands
BGI,Barbados
IAD,United States
LIS,Portugal
BDA,Bermuda
DEL,India
CPH,Denmark
DOH,Qatar
SNA,United States
ANU,Antigua & Barbuda
IAH,United States
MDE,Colombia
TPE,Taiwan
LIM,Peru
CMN,Morocco
MVY,United States
PLS,Turks & Caicos Islands
UVF,St. Lucia
SNN,Ireland
WAW,Poland
SRQ,United States
AKL,New Zealand
GUA,Guatemala
BQN,Puerto Rico
ACC,Ghana
BUR,United States
GVA,Switzerland
YVR,Canada
NAP,Italy
OSL,Norway
SLK,United States
PVD,United States
BER,Germany
CTA,Italy
YUL,Canada
MUC,Germany
SIN,Singapore
EZE,Argentina
BDL,United States
SCL,Chile
UIO,Ecuador
SJO,Costa Rica
KWI,Kuwait
BGR,United States
CAI,Egypt
HEL,Finland
CTG,Colombia
MAN,United Kingdom
DAB,United States
NCE,France
VCE,Italy
GND,Grenada
SAT,United States
SJD,Mexico
ARLANDA,Sweden
BRU,Belgium
POP,Dominican Republic
LIR,Costa Rica
MCI,United States
YYC,Canada
CUR,Curaçao
MKE,United States
VIE,Austria
MEM,United States
PRG,Czechia
STL,United States
NBO,Kenya
VRB,United States
VPS,United States
PEK,China
JED,Saudi Arabia
BEG,Serbia
ABQ,United States
HYA,United States
SVD,St. Vincent & Grenadines
TAS,Uzbekistan
ONT,United States
SMF,United States
BOM,India
LGW,United Kingdom
SKB,St. Kitts & Nevis
MNL,Philippines
GCM,Cayman Islands
PDL,Portugal
SAP,Honduras
DSS,Senegal
ABJ,Côte d’Ivoire
AMM,Jordan
ACK,United States
RUH,Saudi Arabia
OPO,Portugal
FOC,China
PVG,China
SARDINIA,Italy
CAN,China
BZE,Belize
SDF,United States
TAB,Trinidad & Tobago
PSP,United States
PMO,Italy
BAH,Bahrain
OTP,Romania
LFW,Togo
MLA,Malta
GIG,Brazil
LOS,Nigeria
MVD,Uruguay
ANC,United States
BZN,United States
CLO,Colombia
MTY,Mexico
YQB,Canada
PEI,Colombia
EGE,United States
PVR,Mexico
RNO,United States
JAC,United States
DUS,Germany
